Date,Revenue,Expense,Cash,Accounts Receivable,Inventory,Other Current Assets,Fixed Assets,Other Assets,Total Assets,Accounts Payable,Other Current Liabilities,Long Term Debt,Total Liabilities,Total Equity,Total Liabilities & Equity
2023-01,100000,75000,50000,25000,15000,5000,80000,10000,185000,20000,10000,50000,80000,105000,185000
2023-02,105000,76000,52000,26000,16000,5000,80000,10000,189000,21000,10000,50000,81000,108000,189000
2023-03,110000,77000,55000,27000,17000,6000,80000,10000,195000,22000,11000,50000,83000,112000,195000
2023-04,115000,78000,58000,28000,18000,6000,85000,10000,205000,23000,11000,50000,84000,121000,205000
2023-05,120000,79000,60000,30000,19000,6000,85000,10000,210000,24000,12000,50000,86000,124000,210000
2023-06,125000,80000,63000,32000,20000,7000,85000,10000,217000,25000,12000,50000,87000,130000,217000
2023-07,130000,81000,65000,33000,21000,7000,85000,11000,222000,26000,13000,50000,89000,133000,222000
2023-08,135000,82000,68000,35000,22000,7000,90000,11000,233000,27000,13000,50000,90000,143000,233000
2023-09,140000,83000,70000,36000,23000,8000,90000,11000,238000,28000,14000,50000,92000,146000,238000
2023-10,145000,84000,73000,38000,24000,8000,90000,11000,244000,29000,14000,50000,93000,151000,244000
2023-11,150000,85000,75000,40000,25000,8000,95000,12000,255000,30000,15000,50000,95000,160000,255000
2023-12,155000,86000,78000,42000,26000,9000,95000,12000,262000,31000,15000,50000,96000,166000,262000
2024-01,160000,87000,80000,44000,27000,9000,95000,12000,267000,32000,16000,48000,96000,171000,267000
2024-02,165000,88000,83000,46000,28000,10000,100000,13000,280000,33000,16000,48000,97000,183000,280000
2024-03,170000,89000,85000,48000,29000,10000,100000,13000,285000,34000,17000,48000,99000,186000,285000
2024-04,175000,90000,88000,50000,30000,10000,100000,13000,291000,35000,17000,48000,100000,191000,291000
2024-05,180000,91000,90000,52000,31000,11000,105000,14000,303000,36000,18000,48000,102000,201000,303000
2024-06,185000,92000,93000,54000,32000,11000,105000,14000,309000,37000,18000,48000,103000,206000,309000
2024-07,190000,93000,95000,56000,33000,12000,105000,14000,315000,38000,19000,48000,105000,210000,315000
2024-08,195000,94000,98000,58000,34000,12000,110000,15000,327000,39000,19000,48000,106000,221000,327000
2024-09,200000,95000,100000,60000,35000,12000,110000,15000,332000,40000,20000,48000,108000,224000,332000
2024-10,205000,96000,103000,62000,36000,13000,110000,15000,339000,41000,20000,48000,109000,230000,339000
2024-11,210000,97000,105000,64000,37000,13000,115000,16000,350000,42000,21000,48000,111000,239000,350000
2024-12,215000,98000,108000,66000,38000,14000,115000,16000,357000,43000,21000,48000,112000,245000,357000


